BldgType,VintYear,BldgLoc,tstat,TStatHtgMrn,TStatHtgDay,TStatHtgEve,TStatHtgNit,TStatClgMrn,TStatClgDay,TStatClgEve,TStatClgNit
MFm,1975,CZ01,1,68,68,68,68,78,78,78,78
MFm,1975,CZ02,1,72,72,72,72,76,83,83,76
MFm,1975,CZ03,1,70,67,67,70,76,83,83,76
MFm,1975,CZ04,1,68,65,65,68,76,83,83,76
MFm,1975,CZ05,1,70,67,67,70,77,84,84,77
MFm,1975,CZ06,1,74,74,74,74,83,80,80,83
MFm,1975,CZ07,1,70,67,67,70,80,80,80,80
MFm,1975,CZ08,1,71,68,68,71,80,80,80,80
MFm,1975,CZ09,1,71,71,71,71,83,80,80,83
MFm,1975,CZ10,1,70,67,67,70,76,83,83,76
MFm,1975,CZ11,1,67,67,67,67,76,83,83,76
MFm,1975,CZ12,1,70,67,67,70,76,83,83,76
MFm,1975,CZ13,1,68,68,68,68,76,83,83,76
MFm,1975,CZ14,1,67,70,70,67,74,74,74,74
MFm,1975,CZ15,1,74,74,74,74,80,80,80,80
MFm,1975,CZ16,1,60,60,60,60,80,80,80,80
MFm,1975,CZ01,2,68,63,63,68,83,80,80,83
MFm,1975,CZ02,2,68,65,65,68,80,83,83,80
MFm,1975,CZ03,2,72,72,72,72,80,83,83,80
MFm,1975,CZ04,2,70,65,65,70,80,83,83,80
MFm,1975,CZ05,2,70,70,70,70,81,84,84,81
MFm,1975,CZ06,2,72,72,72,72,80,80,80,80
MFm,1975,CZ07,2,70,70,70,70,76,83,83,76
MFm,1975,CZ08,2,71,71,71,71,76,83,83,76
MFm,1975,CZ09,2,73,68,68,73,80,80,80,80
MFm,1975,CZ10,2,70,70,70,70,80,83,83,80
MFm,1975,CZ11,2,69,64,64,69,80,83,83,80
MFm,1975,CZ12,2,72,67,67,72,80,83,83,80
MFm,1975,CZ13,2,70,65,65,70,80,83,83,80
MFm,1975,CZ14,2,67,72,72,67,83,76,76,83
MFm,1975,CZ15,2,76,76,76,76,80,83,83,80
MFm,1975,CZ16,2,65,65,65,65,85,82,82,85
MFm,1975,CZ01,3,70,70,70,70,80,80,80,80
MFm,1975,CZ02,3,70,70,70,70,83,83,83,83
MFm,1975,CZ03,3,74,74,74,74,83,83,83,83
MFm,1975,CZ04,3,70,70,70,70,83,83,83,83
MFm,1975,CZ05,3,72,67,67,72,84,84,84,84
MFm,1975,CZ06,3,72,67,67,72,76,83,83,76
MFm,1975,CZ07,3,72,67,67,72,80,83,83,80
MFm,1975,CZ08,3,75,75,75,75,80,83,83,80
MFm,1975,CZ09,3,75,75,75,75,76,83,83,76
MFm,1975,CZ10,3,72,67,67,72,83,83,83,83
MFm,1975,CZ11,3,69,69,69,69,83,83,83,83
MFm,1975,CZ12,3,70,70,70,70,83,83,83,83
MFm,1975,CZ13,3,72,72,72,72,83,83,83,83
MFm,1975,CZ14,3,72,67,67,72,78,78,78,78
MFm,1975,CZ15,3,75,69,69,75,83,83,83,83
MFm,1975,CZ16,3,65,68,68,65,82,82,82,82
MFm,1975,CZ01,4,66,63,63,66,80,83,83,80
MFm,1975,CZ02,4,68,68,68,68,85,85,85,85
MFm,1975,CZ03,4,72,67,67,72,85,85,85,85
MFm,1975,CZ04,4,68,68,68,68,85,85,85,85
MFm,1975,CZ05,4,74,74,74,74,86,86,86,86
MFm,1975,CZ06,4,70,67,67,70,80,83,83,80
MFm,1975,CZ07,4,72,72,72,72,83,83,83,83
MFm,1975,CZ08,4,73,73,73,73,83,83,83,83
MFm,1975,CZ09,4,73,73,73,73,80,83,83,80
MFm,1975,CZ10,4,72,72,72,72,85,85,85,85
MFm,1975,CZ11,4,67,64,64,67,85,85,85,85
MFm,1975,CZ12,4,72,72,72,72,85,85,85,85
MFm,1975,CZ13,4,70,70,70,70,85,85,85,85
MFm,1975,CZ14,4,70,70,70,70,83,80,80,83
MFm,1975,CZ15,4,74,75,85,74,85,85,85,85
MFm,1975,CZ16,4,65,70,70,65,78,85,85,78
MFm,1975,CZ01,5,66,66,66,66,83,83,83,83
MFm,1975,CZ02,5,70,65,65,70,90,90,90,90
MFm,1975,CZ03,5,70,70,70,70,90,90,90,90
MFm,1975,CZ04,5,72,72,72,72,90,90,90,90
MFm,1975,CZ05,5,72,72,72,72,91,91,91,91
MFm,1975,CZ06,5,70,70,70,70,83,83,83,83
MFm,1975,CZ07,5,74,74,74,74,85,85,85,85
MFm,1975,CZ08,5,73,68,68,73,85,85,85,85
MFm,1975,CZ09,5,71,68,68,71,83,83,83,83
MFm,1975,CZ10,5,74,74,74,74,90,90,90,90
MFm,1975,CZ11,5,64,69,69,64,90,90,90,90
MFm,1975,CZ12,5,74,74,74,74,90,90,90,90
MFm,1975,CZ13,5,68,65,65,68,90,90,90,90
MFm,1975,CZ14,5,72,72,72,72,80,80,80,80
MFm,1975,CZ15,5,72,72,72,72,90,90,90,90
MFm,1975,CZ16,5,68,65,65,68,82,85,85,82
MFm,1985,CZ01,1,66,63,63,66,78,78,78,78
MFm,1985,CZ02,1,72,72,72,72,76,83,83,76
MFm,1985,CZ03,1,70,67,67,70,76,83,83,76
MFm,1985,CZ04,1,65,70,70,65,76,83,83,76
MFm,1985,CZ05,1,70,67,67,70,76,83,83,76
MFm,1985,CZ06,1,70,67,67,70,83,80,80,83
MFm,1985,CZ07,1,71,68,68,71,80,80,80,80
MFm,1985,CZ08,1,72,69,69,72,85,82,82,85
MFm,1985,CZ09,1,72,69,69,72,78,78,78,78
MFm,1985,CZ10,1,71,68,68,71,76,83,83,76
MFm,1985,CZ11,1,67,64,64,67,76,83,83,76
MFm,1985,CZ12,1,74,74,74,74,76,83,83,76
MFm,1985,CZ13,1,71,68,68,71,76,83,83,76
MFm,1985,CZ14,1,72,67,67,72,81,81,81,81
MFm,1985,CZ15,1,75,72,72,74,76,83,83,76
MFm,1985,CZ16,1,60,60,60,60,74,74,74,74
MFm,1985,CZ01,2,68,68,68,68,83,80,80,83
MFm,1985,CZ02,2,68,65,65,68,80,83,83,80
MFm,1985,CZ03,2,70,70,70,70,80,83,83,80
MFm,1985,CZ04,2,68,65,65,68,80,83,83,80
MFm,1985,CZ05,2,70,70,70,70,79,82,82,79
MFm,1985,CZ06,2,70,70,70,70,80,80,80,80
MFm,1985,CZ07,2,75,75,75,75,76,83,83,76
MFm,1985,CZ08,2,72,72,72,72,82,82,82,82
MFm,1985,CZ09,2,72,72,72,72,83,80,80,83
MFm,1985,CZ10,2,71,71,71,71,80,83,83,80
MFm,1985,CZ11,2,67,67,67,67,80,83,83,80
MFm,1985,CZ12,2,70,67,67,70,80,83,83,80
MFm,1985,CZ13,2,71,71,71,71,80,83,83,80
MFm,1985,CZ14,2,67,70,70,67,86,83,83,86
MFm,1985,CZ15,2,76,76,76,76,80,83,83,80
MFm,1985,CZ16,2,65,68,68,65,83,76,76,83
MFm,1985,CZ01,3,70,70,70,70,80,80,80,80
MFm,1985,CZ02,3,70,70,70,70,83,83,83,83
MFm,1985,CZ03,3,72,67,67,72,83,83,83,83
MFm,1985,CZ04,3,68,68,68,68,83,83,83,83
MFm,1985,CZ05,3,72,67,67,72,80,80,80,80
MFm,1985,CZ06,3,74,74,74,74,76,83,83,76
MFm,1985,CZ07,3,73,73,73,73,80,83,83,80
MFm,1985,CZ08,3,74,69,69,74,78,85,85,78
MFm,1985,CZ09,3,74,69,69,74,80,80,80,80
MFm,1985,CZ10,3,73,68,68,73,83,83,83,83
MFm,1985,CZ11,3,69,64,64,69,83,83,83,83
MFm,1985,CZ12,3,70,70,70,70,83,83,83,83
MFm,1985,CZ13,3,73,68,68,73,83,83,83,83
MFm,1985,CZ14,3,67,67,67,67,83,83,83,83
MFm,1985,CZ15,3,74,69,69,74,83,83,83,83
MFm,1985,CZ16,3,65,70,70,65,78,78,78,78
MFm,1985,CZ01,4,66,66,66,66,76,83,83,76
MFm,1985,CZ02,4,68,68,68,68,85,85,85,85
MFm,1985,CZ03,4,74,74,74,74,85,85,85,85
MFm,1985,CZ04,4,70,70,70,70,85,85,85,85
MFm,1985,CZ05,4,74,74,74,74,82,82,82,82
MFm,1985,CZ06,4,72,72,72,72,80,83,83,80
MFm,1985,CZ07,4,71,71,71,71,83,83,83,83
MFm,1985,CZ08,4,74,74,74,74,82,85,85,82
MFm,1985,CZ09,4,74,74,74,74,76,83,83,76
MFm,1985,CZ10,4,70,73,73,70,85,85,85,85
MFm,1985,CZ11,4,64,69,69,64,85,85,85,85
MFm,1985,CZ12,4,72,67,67,72,85,85,85,85
MFm,1985,CZ13,4,75,75,75,75,85,85,85,85
MFm,1985,CZ14,4,67,72,72,67,79,86,86,79
MFm,1985,CZ15,4,74,74,74,74,85,85,85,85
MFm,1985,CZ16,4,68,65,65,68,83,80,80,83
MFm,1985,CZ01,5,68,63,63,68,80,83,83,80
MFm,1985,CZ02,5,70,65,65,70,90,90,90,90
MFm,1985,CZ03,5,72,72,72,72,90,90,90,90
MFm,1985,CZ04,5,70,65,65,70,90,90,90,90
MFm,1985,CZ05,5,72,72,72,72,77,77,77,77
MFm,1985,CZ06,5,72,67,67,72,83,83,83,83
MFm,1985,CZ07,5,73,68,68,73,85,85,85,85
MFm,1985,CZ08,5,76,76,76,76,85,85,85,85
MFm,1985,CZ09,5,75,75,75,75,80,83,83,80
MFm,1985,CZ10,5,72,74,74,72,90,90,90,90
MFm,1985,CZ11,5,69,69,69,69,90,90,90,90
MFm,1985,CZ12,5,72,72,72,72,90,90,90,90
MFm,1985,CZ13,5,73,73,73,73,90,90,90,90
MFm,1985,CZ14,5,70,70,70,70,83,86,86,83
MFm,1985,CZ15,5,75,75,75,75,90,90,90,90
MFm,1985,CZ16,5,65,65,65,65,80,80,80,80
MFm,1996,CZ01,1,69,66,66,69,78,78,78,78
MFm,1996,CZ02,1,72,72,72,72,76,83,83,76
MFm,1996,CZ03,1,71,68,68,71,76,83,83,76
MFm,1996,CZ04,1,67,72,72,67,76,83,83,76
MFm,1996,CZ05,1,70,67,67,70,76,83,83,76
MFm,1996,CZ06,1,72,69,69,72,83,85,85,83
MFm,1996,CZ07,1,71,68,68,71,80,80,80,80
MFm,1996,CZ08,1,72,69,69,72,85,82,82,85
MFm,1996,CZ09,1,75,69,69,75,80,80,80,80
MFm,1996,CZ10,1,74,69,69,74,80,86,86,80
MFm,1996,CZ11,1,66,66,66,66,80,84,84,80
MFm,1996,CZ12,1,70,70,70,70,76,83,83,76
MFm,1996,CZ13,1,68,68,68,68,76,83,83,76
MFm,1996,CZ14,1,72,72,72,72,74,74,74,74
MFm,1996,CZ15,1,72,69,69,72,79,86,86,79
MFm,1996,CZ16,1,70,67,67,70,74,74,74,74
MFm,1996,CZ01,2,71,71,71,71,83,80,80,83
MFm,1996,CZ02,2,68,65,65,68,80,83,83,80
MFm,1996,CZ03,2,73,73,73,73,80,83,83,80
MFm,1996,CZ04,2,70,67,67,70,80,83,83,80
MFm,1996,CZ05,2,70,70,70,70,80,83,83,80
MFm,1996,CZ06,2,72,72,72,72,80,84,84,80
MFm,1996,CZ07,2,73,73,73,73,76,83,83,76
MFm,1996,CZ08,2,74,69,69,74,82,82,82,82
MFm,1996,CZ09,2,75,72,72,75,85,82,82,85
MFm,1996,CZ10,2,75,72,72,75,80,85,85,80
MFm,1996,CZ11,2,63,63,63,63,76,88,88,76
MFm,1996,CZ12,2,72,72,72,72,80,83,83,80
MFm,1996,CZ13,2,70,65,65,70,80,83,83,80
MFm,1996,CZ14,2,70,70,70,70,83,76,76,83
MFm,1996,CZ15,2,72,72,72,72,83,85,85,83
MFm,1996,CZ16,2,70,70,70,70,83,76,76,83
MFm,1996,CZ01,3,73,73,73,73,80,80,80,80
MFm,1996,CZ02,3,70,70,70,70,83,83,83,83
MFm,1996,CZ03,3,75,75,75,75,83,83,83,83
MFm,1996,CZ04,3,70,70,70,70,83,83,83,83
MFm,1996,CZ05,3,72,67,67,72,83,83,83,83
MFm,1996,CZ06,3,74,69,69,74,76,83,83,76
MFm,1996,CZ07,3,75,75,75,75,80,83,83,80
MFm,1996,CZ08,3,74,74,74,74,78,85,85,78
MFm,1996,CZ09,3,75,75,75,75,82,82,82,82
MFm,1996,CZ10,3,74,69,69,74,83,85,85,83
MFm,1996,CZ11,3,63,66,66,63,80,87,87,80
MFm,1996,CZ12,3,72,67,67,72,83,83,83,83
MFm,1996,CZ13,3,72,72,72,72,83,83,83,83
MFm,1996,CZ14,3,72,67,67,72,78,78,78,78
MFm,1996,CZ15,3,74,69,69,74,86,86,86,86
MFm,1996,CZ16,3,72,72,72,72,78,78,78,78
MFm,1996,CZ01,4,69,69,69,69,76,83,83,76
MFm,1996,CZ02,4,68,68,68,68,85,85,85,85
MFm,1996,CZ03,4,73,68,68,73,85,85,85,85
MFm,1996,CZ04,4,72,72,72,72,85,85,85,85
MFm,1996,CZ05,4,74,74,74,74,85,85,85,85
MFm,1996,CZ06,4,74,74,74,74,82,85,85,82
MFm,1996,CZ07,4,71,71,71,71,83,83,83,83
MFm,1996,CZ08,4,72,72,72,72,82,87,87,82
MFm,1996,CZ09,4,74,69,69,74,78,85,85,78
MFm,1996,CZ10,4,74,74,74,74,85,87,87,85
MFm,1996,CZ11,4,63,68,68,63,83,88,88,83
MFm,1996,CZ12,4,74,74,74,74,85,85,85,85
MFm,1996,CZ13,4,70,70,70,70,85,85,85,85
MFm,1996,CZ14,4,68,65,65,68,83,80,80,83
MFm,1996,CZ15,4,74,74,74,74,88,90,80,88
MFm,1996,CZ16,4,74,74,74,74,83,80,80,83
MFm,1996,CZ01,5,71,66,66,71,80,83,83,80
MFm,1996,CZ02,5,70,65,65,70,90,90,90,90
MFm,1996,CZ03,5,71,71,71,71,90,90,90,90
MFm,1996,CZ04,5,72,67,67,72,90,90,90,90
MFm,1996,CZ05,5,72,72,72,72,90,90,90,90
MFm,1996,CZ06,5,76,76,76,76,83,83,83,83
MFm,1996,CZ07,5,73,68,68,73,85,85,85,85
MFm,1996,CZ08,5,76,76,76,76,85,90,90,85
MFm,1996,CZ09,5,74,74,74,74,82,85,85,82
MFm,1996,CZ10,5,75,75,75,75,90,90,90,90
MFm,1996,CZ11,5,66,63,63,66,85,85,85,85
MFm,1996,CZ12,5,70,67,67,70,90,90,90,90
MFm,1996,CZ13,5,68,65,65,68,90,90,90,90
MFm,1996,CZ14,5,68,68,68,68,80,80,80,80
MFm,1996,CZ15,5,76,76,76,76,90,90,90,90
MFm,1996,CZ16,5,72,67,67,72,80,80,80,80
MFm,2003,CZ01,1,66,63,63,66,78,78,78,78
MFm,2003,CZ02,1,65,70,70,65,76,83,83,76
MFm,2003,CZ03,1,71,68,68,71,77,84,84,77
MFm,2003,CZ04,1,65,70,70,65,78,78,78,78
MFm,2003,CZ05,1,70,67,67,70,76,83,83,76
MFm,2003,CZ06,1,70,67,67,70,80,80,80,80
MFm,2003,CZ07,1,72,67,67,72,78,78,78,78
MFm,2003,CZ08,1,70,67,67,70,80,80,80,80
MFm,2003,CZ09,1,70,70,70,70,82,82,82,82
MFm,2003,CZ10,1,65,65,65,65,76,83,83,76
MFm,2003,CZ11,1,67,64,64,67,82,82,82,82
MFm,2003,CZ12,1,67,64,64,67,78,85,85,78
MFm,2003,CZ13,1,67,64,64,67,84,81,81,84
MFm,2003,CZ14,1,70,70,70,70,74,74,74,74
MFm,2003,CZ15,1,72,69,69,72,79,86,86,79
MFm,2003,CZ16,1,69,69,69,69,74,74,74,74
MFm,2003,CZ01,2,68,63,63,68,83,80,80,83
MFm,2003,CZ02,2,65,68,68,65,80,83,83,80
MFm,2003,CZ03,2,71,71,71,71,81,84,84,81
MFm,2003,CZ04,2,65,68,68,65,83,80,80,83
MFm,2003,CZ05,2,72,67,67,72,80,83,83,80
MFm,2003,CZ06,2,72,72,72,72,76,83,83,76
MFm,2003,CZ07,2,70,70,70,70,83,80,80,83
MFm,2003,CZ08,2,70,70,70,70,85,82,82,85
MFm,2003,CZ09,2,72,67,67,72,78,85,85,78
MFm,2003,CZ10,2,68,63,63,68,80,83,83,80
MFm,2003,CZ11,2,69,64,64,69,83,79,79,83
MFm,2003,CZ12,2,69,64,64,69,83,80,80,83
MFm,2003,CZ13,2,67,67,67,67,81,81,81,81
MFm,2003,CZ14,2,72,72,72,72,83,76,76,83
MFm,2003,CZ15,2,72,72,72,72,83,85,85,83
MFm,2003,CZ16,2,64,69,69,64,83,76,76,83
MFm,2003,CZ01,3,68,68,68,68,80,80,80,80
MFm,2003,CZ02,3,70,65,65,70,83,83,83,83
MFm,2003,CZ03,3,73,68,68,73,84,84,84,84
MFm,2003,CZ04,3,68,68,68,68,80,80,80,80
MFm,2003,CZ05,3,70,70,70,70,83,83,83,83
MFm,2003,CZ06,3,70,70,70,70,80,83,83,80
MFm,2003,CZ07,3,72,72,72,72,80,80,80,80
MFm,2003,CZ08,3,72,72,72,72,82,85,85,82
MFm,2003,CZ09,3,74,74,74,74,82,85,85,82
MFm,2003,CZ10,3,70,65,65,70,83,83,83,83
MFm,2003,CZ11,3,69,69,69,69,78,80,80,78
MFm,2003,CZ12,3,69,67,67,69,80,85,85,80
MFm,2003,CZ13,3,71,71,71,71,77,84,84,77
MFm,2003,CZ14,3,70,67,67,70,78,78,78,78
MFm,2003,CZ15,3,74,69,69,74,86,86,86,86
MFm,2003,CZ16,3,69,64,64,69,78,78,78,78
MFm,2003,CZ01,4,70,70,70,70,76,83,83,76
MFm,2003,CZ02,4,68,65,65,68,85,85,85,85
MFm,2003,CZ03,4,73,73,73,73,86,86,86,86
MFm,2003,CZ04,4,68,65,65,68,76,83,83,76
MFm,2003,CZ05,4,72,72,72,72,85,85,85,85
MFm,2003,CZ06,4,72,67,67,72,83,83,83,83
MFm,2003,CZ07,4,74,74,74,74,76,83,83,76
MFm,2003,CZ08,4,74,74,74,74,78,85,85,78
MFm,2003,CZ09,4,72,72,72,72,85,85,85,85
MFm,2003,CZ10,4,70,65,65,70,85,85,85,85
MFm,2003,CZ11,4,67,67,67,67,83,80,80,83
MFm,2003,CZ12,4,67,67,67,67,78,87,87,78
MFm,2003,CZ13,4,69,64,64,69,81,84,84,81
MFm,2003,CZ14,4,68,68,68,68,83,80,80,83
MFm,2003,CZ15,4,74,74,74,74,88,90,80,88
MFm,2003,CZ16,4,67,64,64,67,83,80,80,83
MFm,2003,CZ01,5,66,66,66,66,80,83,83,80
MFm,2003,CZ02,5,68,68,68,68,90,90,90,90
MFm,2003,CZ03,5,75,75,75,75,91,91,91,91
MFm,2003,CZ04,5,70,65,65,70,80,83,83,80
MFm,2003,CZ05,5,74,74,74,74,90,90,90,90
MFm,2003,CZ06,5,74,74,74,74,85,85,85,85
MFm,2003,CZ07,5,70,67,67,70,80,83,83,80
MFm,2003,CZ08,5,72,67,67,72,82,87,87,82
MFm,2003,CZ09,5,70,67,67,70,87,87,87,87
MFm,2003,CZ10,5,68,60,60,68,90,90,90,90
MFm,2003,CZ11,5,71,71,71,71,80,80,80,80
MFm,2003,CZ12,5,64,68,68,64,80,83,83,80
MFm,2003,CZ13,5,69,69,69,69,84,84,84,84
MFm,2003,CZ14,5,70,65,65,70,80,80,80,80
MFm,2003,CZ15,5,76,76,76,76,90,90,90,90
MFm,2003,CZ16,5,67,67,67,67,80,80,80,80
MFm,2007,CZ01,1,70,70,70,70,78,78,78,78
MFm,2007,CZ02,1,72,72,72,72,80,80,80,80
MFm,2007,CZ03,1,70,67,67,70,76,83,83,76
MFm,2007,CZ04,1,68,68,68,68,83,76,76,83
MFm,2007,CZ05,1,68,65,65,68,76,81,81,76
MFm,2007,CZ06,1,70,70,70,70,83,80,80,83
MFm,2007,CZ07,1,70,67,67,70,83,76,76,83
MFm,2007,CZ08,1,70,67,67,70,83,76,76,83
MFm,2007,CZ09,1,70,67,67,70,80,80,80,80
MFm,2007,CZ10,1,65,65,65,65,80,80,80,80
MFm,2007,CZ11,1,71,71,71,71,74,74,74,74
MFm,2007,CZ12,1,69,64,64,69,83,76,76,83
MFm,2007,CZ13,1,66,66,66,66,83,76,76,83
MFm,2007,CZ14,1,73,73,73,73,74,74,74,74
MFm,2007,CZ15,1,72,69,69,72,78,83,83,78
MFm,2007,CZ16,1,69,69,69,69,74,74,74,74
MFm,2007,CZ01,2,68,63,63,68,83,80,80,83
MFm,2007,CZ02,2,68,65,65,68,76,83,83,76
MFm,2007,CZ03,2,70,70,70,70,80,83,83,80
MFm,2007,CZ04,2,63,68,68,63,78,78,78,78
MFm,2007,CZ05,2,68,68,68,68,78,80,80,78
MFm,2007,CZ06,2,72,67,67,72,80,80,80,80
MFm,2007,CZ07,2,74,74,74,74,78,78,78,78
MFm,2007,CZ08,2,70,70,70,70,78,78,78,78
MFm,2007,CZ09,2,70,70,70,70,85,82,82,85
MFm,2007,CZ10,2,68,63,63,68,76,83,83,76
MFm,2007,CZ11,2,69,69,69,69,83,76,76,83
MFm,2007,CZ12,2,67,67,67,67,78,78,78,78
MFm,2007,CZ13,2,70,70,70,70,78,78,78,78
MFm,2007,CZ14,2,71,71,71,71,78,76,76,78
MFm,2007,CZ15,2,74,69,69,74,80,85,85,80
MFm,2007,CZ16,2,69,64,64,69,83,76,76,83
MFm,2007,CZ01,3,68,68,68,68,80,80,80,80
MFm,2007,CZ02,3,70,70,70,70,80,83,83,80
MFm,2007,CZ03,3,72,67,67,72,83,83,83,83
MFm,2007,CZ04,3,66,63,63,66,83,80,80,83
MFm,2007,CZ05,3,70,65,65,70,81,78,78,81
MFm,2007,CZ06,3,72,72,72,72,76,83,83,76
MFm,2007,CZ07,3,72,67,67,72,83,77,77,83
MFm,2007,CZ08,3,74,74,74,74,83,80,80,83
MFm,2007,CZ09,3,72,67,67,72,82,82,82,82
MFm,2007,CZ10,3,70,65,65,70,80,83,83,80
MFm,2007,CZ11,3,69,64,64,69,78,78,78,78
MFm,2007,CZ12,3,69,67,67,69,83,80,80,83
MFm,2007,CZ13,3,68,68,68,68,83,80,80,83
MFm,2007,CZ14,3,71,66,66,71,78,74,74,78
MFm,2007,CZ15,3,74,74,74,74,83,86,86,83
MFm,2007,CZ16,3,67,67,67,67,78,78,78,78
MFm,2007,CZ01,4,66,66,66,66,80,83,83,80
MFm,2007,CZ02,4,68,68,68,68,83,83,83,83
MFm,2007,CZ03,4,72,72,72,72,85,85,85,85
MFm,2007,CZ04,4,68,63,63,68,80,80,80,80
MFm,2007,CZ05,4,72,72,72,72,83,81,81,83
MFm,2007,CZ06,4,74,74,74,74,80,83,83,80
MFm,2007,CZ07,4,72,72,72,72,80,76,76,80
MFm,2007,CZ08,4,72,67,67,72,80,80,80,80
MFm,2007,CZ09,4,74,74,74,74,78,85,85,78
MFm,2007,CZ10,4,70,65,65,70,83,83,83,83
MFm,2007,CZ11,4,67,64,64,67,83,80,80,83
MFm,2007,CZ12,4,67,64,64,67,80,80,80,80
MFm,2007,CZ13,4,68,63,63,68,80,80,80,80
MFm,2007,CZ14,4,69,66,66,69,76,76,76,76
MFm,2007,CZ15,4,76,76,76,76,85,85,85,85
MFm,2007,CZ16,4,64,69,69,64,83,80,80,83
MFm,2007,CZ01,5,66,63,63,66,83,83,83,83
MFm,2007,CZ02,5,70,65,65,70,85,85,85,85
MFm,2007,CZ03,5,74,74,74,74,90,90,90,90
MFm,2007,CZ04,5,66,66,66,66,76,83,83,76
MFm,2007,CZ05,5,70,70,70,70,85,85,85,85
MFm,2007,CZ06,5,70,67,67,70,83,83,83,83
MFm,2007,CZ07,5,70,70,70,70,76,79,79,76
MFm,2007,CZ08,5,72,72,72,72,76,83,83,76
MFm,2007,CZ09,5,72,72,72,72,82,85,85,82
MFm,2007,CZ10,5,68,60,60,68,85,85,85,85
MFm,2007,CZ11,5,67,67,67,67,80,80,80,80
MFm,2007,CZ12,5,71,68,68,71,76,83,83,76
MFm,2007,CZ13,5,66,63,63,66,76,83,83,76
MFm,2007,CZ14,5,69,69,69,69,75,75,75,75
